name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
Wildwood Vineyards,https://historicvineyardsociety.org/vineyard/wildwood-vineyards,Sonoma Valley,Sonoma,1900s,,"Arthur Kunde & Sons, Inc.",James Shaw,"Kunde/Wildwood Vineyards & Winery, Martini & Prati, possibly Sebastiani",,"Kunde/Wildwood Vineyards & Winery, Martini & Prati, possibly Sebastiani Although the vines have very low yield, the result is a jammy old vine Zin with a rich, earthy, intense dark fruit and chocolate flavor made more complex by aging in American and European oak for 15 months. The 28-acre Century Vine Zinfandel vineyard, a vestige of Louis Kunde’s 1904 purchase, was planted in 1882 by James Shaw. Louis Kunde won a gold medal for this Zinfandel at the 1915 Panama Pacific International Exposition in San Francisco (as well as another gold for a Burgundy, a silver for Cabernet Sauvignon, a Bronze for Riesling and an honorable mention for Sémillon). Louis also shipped grapes to Chicago. According to family lore, Louis once dumped his grapes along the train tracks instead of accepting an insultingly low price upon delivery. Vines were tested by UC Davis in the late 1970s/early 1980s but they were unable to identify the rootstock. The vineyard is head pruned without trellis and dry-farmed.          ",,"{""Zinfandel"": null, ""Cabernet Sauvignon"": null, ""Riesling"": null}",
William G Micke Vineyard,https://historicvineyardsociety.org/vineyard/william-g-micke-vineyard,Lodi,,1920s,Mokelumne River,San Joaquin County Historical Society & Museum,,,William G. Micke (sold as Race Track Brand table grapes – 1922 to 1961); LVVR Sparkling Cellars (as of 2025),"San Joaquin County Historical Society & Museum – 11793 N. Micke Grove Road, Lodi, CA 95240 William G. Micke (sold as Race Track Brand table grapes – 1922 to 1961); LVVR Sparkling Cellars (as of 2025)          ",,{},
Williams-Rossi Vineyard,https://historicvineyardsociety.org/vineyard/williams-rossi-vineyard,Rutherford,Napa,1940s,,Frog's Leap,,Frog’s Leap,,"Situated between Whitehall Lane and Zinfandel Lane, on the west side of CA-29 1.5 acres of old-vine Valdiguié remain on the ranch, with 0.5 acre planted in 1947 and 1 acre in 1954. Frog’s Leap began taking the fruit in the 1990s and purchased the ranch in 2007. Although long named “Rossi,” Frog’s Leap re-named it Williams-Rossi to avoid confusion with other historic Rossi vineyards in Napa and Sonoma.          ",,"{""Zinfandel"": null}",
Winberrie,https://historicvineyardsociety.org/vineyard/winberrie,Russian River Valley,Sonoma,1900s,,Multiple,,Gordian Knot Winery,Gordian Knot 2010-2015; Sapphire Hill 1999-2010; Seghesio 1990s,Gordian Knot 2010-2015; Sapphire Hill 1999-2010; Seghesio 1990s          ,,{},
Wirz Vineyard,https://historicvineyardsociety.org/vineyard/wirz-vineyard,Cienega Valley,San Benito County,1960s,,Pat Wirz,,"Bedrock Wine Co., Stirm Wine Company",,"Farmed by Pat Wirz, this old-vine, dry-farmed vineyard was planted in the 1960s.  It’s located at about 1000′ in the Gabilan Mountains about twenty miles north of the Pinnacles National Monument in the Cienega Valley AVA (San Benito County). Although it lies only twenty five miles east of the cold waters of the Monterey Bay, the coastal influence is dampened by the mountain topography and geology surrounding this site. The San Andreas fault runs through the property highlighting the convergence of two giant tectonic plates.  Granite and limestone are the dominant geologic influence here.  As these rocks eroded over the eons, they weathered into very deep sandy loam (Salinian granite) and clay loam (limestone) with plenty of fist-sized granite and limestone cobbles remaining. The rocky, nutrient poor soil forces the roots to grow deep in search of water and minerals.  These old vines ripen late and are extremely low-yielding at around 1 ton/acre annually.          ",Clay; Clay Loam; Sandy Loam; Loam; Sand; Gravel; Rocky; Limestone,{},
Zeigler,https://historicvineyardsociety.org/vineyard/zeigler,Russian River Valley,Sonoma,1920s,,,Unknown,Joseph Swan Vineyards,"Prior to Joseph Swan, Fulton Valley Vineyards for one year (1986). The vineyards was farmed earlier by Cecil DeLoach but it is unknown if they ever bottled it on its own.","1835 Olivet Road, directly across from Mancini Ranch and north of DeLoach Vineyards Prior to Joseph Swan, Fulton Valley Vineyards for one year (1986). The vineyards was farmed earlier by Cecil DeLoach but it is unknown if they ever bottled it on its own. Typical Piner-Olivet Road area old vine Zinfandel with blackberry and black pepper and pronounced acidity. The vineyard includes some interplanted red varieties including Alicante Bouschet. One of the last of what once was a vast number of old vine primarily Zinfandel vineyards in this neighborhood. Interestingly, it was planted during the early years of Prohibition when grape prices rose dramatically due to the loophole in the national Prohibition law which allowed heads of households to legally produce up to 200 gallons of wine per year tax-free.          ",,"{""Zinfandel"": null, ""Alicante Bouschet"": null}",
ZinStar,https://historicvineyardsociety.org/vineyard/zinstar,Lodi,San Joaquin,1930s,Mokelumne River,Lucas Winery,Spiro Statos,,Lucas Winery,"Ripens at lower sugars than other Zinfandel vineyards, resulting in lower alcohol. Burgundian in character, not jammy or over ripe with raspberry, blueberry, and spice. The vineyard is located on sandy loam soil, is own-rooted, and CCOF-certified. The wine ages in French oak for 11 to 16 months and an additional 4 years in bottle prior to release. We have wine from here dating back to 1978.          ",Sandy Loam; Loam; Sand,"{""Zinfandel"": null}",
The Original Grandpère Vineyard,https://historicvineyardsociety.org/vineyard/grandpere,Amador,Amador,1860s,,,,"Past Producers: Karly Wines, Amador Foothill Winery, Santino Wines (gone now)
Current Producers: Vino Noceto (since 2022), Scott Havery Wines, Andis, Macchia in Lodi",,"Past Producers: Karly Wines, Amador Foothill Winery, Santino Wines (gone now) Current Producers: Vino Noceto (since 2022), Scott Havery Wines, Andis, Macchia in Lodi Terri Harvey is the owner/farmer of this vineyard. It is dry-farmed on Sandy Loam Soil, north facing, with plantings dating back to 1869.          ",Sandy Loam; Loam; Sand,{},
Alfred Frediani Vineyard,https://historicvineyardsociety.org/vineyard/alfred-frediani-vineyard,Calistoga,Napa County,1900s,,,Alfred Frediani,,,"Al Frediani’s father bought this land, now prized for quality soils and climate, just after the beginning of the 20th-century, and Al lived there until his passing in 2018 at the age of 96. The Carignane vines existed when Al’s father purchased the land and Al estimated that they were planted in 1901. Al planted the Petite Sirah blocks himself in the 1930s. The soils here at the end of Pickett Road in Calistoga are some of the most beautiful, rocky golden alluvial soils of volcanic origin in all of Napa Valley. The famous vineyard directly adjacent to the southwest has proven the quality of these soils to the public, but insiders and intelligent winemakers have been crowing about the quality of Al’s site for decades. Since 2009, the Petite Sirah and Carignane vine have made up a significant portion of Ritual and beginning in 2010 we have made a vineyard-designate Petite Sirah from these venerable old vines. The vineyard has always been farmed organically and is also dry-farmed. Since Al’s death, his son Steve has taken the reins and continues doing the good work taking care of this treasured vineyard. Updated as of December 2024: Alfred Frediani Vineyard was purchased by Eisele Vineyard in 2023, and the vines have been removed or replanted.          ",Rocky; Volcanic; Alluvial,"{""Petite Sirah"": null}",
Bender Family Vineyard,https://historicvineyardsociety.org/vineyard/bender-family-vineyard,Lodi,,1950s,,Robert E. Bender,,,"The grapes were historically sold to Lockeford Winery, East Side Winery, Bear Creek Winery, and most recently Private labels","The grapes were historically sold to Lockeford Winery, East Side Winery, Bear Creek Winery, and most recently Private labels          ",,{},
Soucie Vineyard,https://historicvineyardsociety.org/vineyard/soucie,Lodi,San Joaquin,1910s,Mokelumne River,Kevin Soucie,"Edward Soucie, Sr.","m2, Michael David","m2 2002-2017, Michael David 1999-2017, Macchia 1998-2009","Earthy, “forest floor,” dominate notes of black fruits, pomegranate, blackberries, Morello cherries, cassis, plums, strawberries. Planted in 1916 by Kevin Soucie’s grandfather, these vines in the original six-acre block are own-rooted and head-trained in the soil profile classified as DeVries Sandy Loam. The vineyard is 15 miles from the upper reaches of the San Francisco Bay and associated waters. The famous Delta Breeze comes here first and fast, creating diurnal temperature swings of 40-50 degrees almost daily.          ",Sandy Loam; Loam; Sand,{},
Viola’s Vineyard,https://historicvineyardsociety.org/vineyard/violas-vineyard,Lodi,San Joaquin,1940s,Clements Hills,Klapstein Family Ranch,J.R. Wiederrich,Delicato,Gallo (1990s),"16055 East Hwy 88 Lockeford, Ca 95237 Hwy 88, 2 miles east of downtown Lockeford Planted on a beautiful bluff overlooking walnut orchards and the Mokelumne River. The Zinfandel was planted in 1949-50 with a neighboring cherry orchard to replace Flame Tokays. In 1935, Grandpa Wiederrich and his partners were contract farmers who produced wine from this acreage as part of a winery guild known as the Mokelumne Winery (see sanjoaquinhistory.org ). JRW purchased the property for $10 in November 1943 and continued to grow grapes on it until his death in 1974. Family members have continuously owned it through the present day.          ",,"{""Zinfandel"": null}",
